route_key,seller_state,customer_state
RJ -> PE,RJ,PE
RJ -> PI,RJ,PI
RJ -> PR,RJ,PR
RJ -> RJ,RJ,RJ
RJ -> RN,RJ,RN
RJ -> RO,RJ,RO
RJ -> RS,RJ,RS
RJ -> SC,RJ,SC
RJ -> SE,RJ,SE
RJ -> SP,RJ,SP
RJ -> TO,RJ,TO
RN -> AL,RN,AL
RN -> BA,RN,BA
RN -> CE,RN,CE
RN -> DF,RN,DF
RN -> MG,RN,MG
RN -> PA,RN,PA
RN -> PB,RN,PB
RN -> PR,RN,PR
RN -> RJ,RN,RJ
RN -> RN,RN,RN
RN -> RS,RN,RS
RN -> SC,RN,SC
RN -> SP,RN,SP
RO -> BA,RO,BA
RO -> ES,RO,ES
RO -> PR,RO,PR
RO -> RJ,RO,RJ
RO -> RS,RO,RS
RO -> SE,RO,SE
RO -> SP,RO,SP
RS -> AC,RS,AC
RS -> AL,RS,AL
RS -> AM,RS,AM
RS -> AP,RS,AP
RS -> BA,RS,BA
RS -> CE,RS,CE
RS -> DF,RS,DF
RS -> ES,RS,ES
RS -> GO,RS,GO
RS -> MA,RS,MA
RS -> MG,RS,MG
RS -> MS,RS,MS
RS -> MT,RS,MT
RS -> PA,RS,PA
RS -> PB,RS,PB
RS -> PE,RS,PE
RS -> PI,RS,PI
RS -> PR,RS,PR
RS -> RJ,RS,RJ
RS -> RN,RS,RN
RS -> RO,RS,RO
RS -> RS,RS,RS
RS -> SC,RS,SC
RS -> SE,RS,SE
RS -> SP,RS,SP
RS -> TO,RS,TO
SC -> AC,SC,AC
SC -> AL,SC,AL
SC -> AM,SC,AM
SC -> AP,SC,AP
SC -> BA,SC,BA
SC -> CE,SC,CE
SC -> DF,SC,DF
SC -> ES,SC,ES
SC -> GO,SC,GO
SC -> MA,SC,MA
SC -> MG,SC,MG
SC -> MS,SC,MS
SC -> MT,SC,MT
SC -> PA,SC,PA
SC -> PB,SC,PB
SC -> PE,SC,PE
SC -> PI,SC,PI
SC -> PR,SC,PR
SC -> RJ,SC,RJ
SC -> RN,SC,RN
SC -> RO,SC,RO
SC -> RS,SC,RS
SC -> SC,SC,SC
SC -> SE,SC,SE
SC -> SP,SC,SP
SC -> TO,SC,TO
SE -> ES,SE,ES
SE -> GO,SE,GO
SE -> PA,SE,PA
SE -> PE,SE,PE
SE -> PR,SE,PR
SE -> RJ,SE,RJ
SE -> SP,SE,SP
SP -> AC,SP,AC
SP -> AL,SP,AL
SP -> AM,SP,AM
SP -> AP,SP,AP
SP -> BA,SP,BA
SP -> CE,SP,CE
SP -> DF,SP,DF
SP -> ES,SP,ES
SP -> GO,SP,GO
SP -> MA,SP,MA
SP -> MG,SP,MG
SP -> MS,SP,MS
SP -> MT,SP,MT
SP -> PA,SP,PA
SP -> PB,SP,PB
SP -> PE,SP,PE
SP -> PI,SP,PI
SP -> PR,SP,PR
SP -> RJ,SP,RJ
SP -> RN,SP,RN
SP -> RO,SP,RO
SP -> RR,SP,RR
SP -> RS,SP,RS
SP -> SC,SP,SC
SP -> SE,SP,SE
SP -> SP,SP,SP
SP -> TO,SP,TO
